id,comment,Label
37,All members will give a vote of thanks to Shri Rahul Gandhi & Priyanka Gandhi for their sincere efforts during 2017 UP election polls.,1
38,"He is trying to become famous by giving a controversial statement, ignore him , don't make him famous by sharing ...lol",0
39,Appeasement policy by Congress govt is made people easy earning in the name of problem.so revoke Nehru s article 370 promote hard work in the place of appeasement,1
40,V unfortunate. Tatas in news lately for all d wrong reasons,0
41,stopped watching the video long time back ... just enjoying the comments here now :D .. the worst launch ever for any product,1
42,Can u plz suggest for Andhra Bank and Mahindra Life Space developers..I can hold long,0
43,Vinod Wangnoo I think you are Pakistani,1
44,"Under Rajnath Police, even his state president is not secure...they talk of EIP bluff masters !!!",1
45,"India should ban NDTV first , and then talk about anything ! , NDTV is separatist channel !",0
46,"You can do kadi ninda, :D or arnab can bark on TV, LOL!!!",1
47,Evm me fix,1
48,"true he said,,noise pollution",1
49,e-transactions are liable to charge!! Should it not be the other way - so much manpower fuel etc is saved for the system!!,0
50,Next slap to sm Krishna..... Saya time nalli aase,1
51,India will react by not playing cricket with Pakistan or they ll make a bollywood movie against Pakistan in which they will show their army doing surgical strike... lol,1
52,Very bad news channel is ABP Neaws channel Only BJP news channel in this world Very bad news channel is ABP Neaws channel Not interested in indian people,1
53,One can buy with a sl 850 for tgt 901/938/951/980/1038 for period six months,0
54,What will a chaddi like you do in AAP?,1
55,"Nothing will happen.. it will stabilize, take a chill pill and ride it out",0
56,Kaasmir innocnt people killed by indian army . Then Pak army killed Indian army,1
57,"Prithvi Setty and see where the ""due process of law"" has brought India, poverty, unemployment, crime and what not.",1
58,Two times Oscar Tom Hanks can't play Jesus,1
59,What Govt of Delhi is doing? Why Delhi elected an idiot who doesn't work and only talk.,1
60,He is crazy man all,1
61,"True bmc the so called bastion of Shiv Sena,but the numbers tell a different story. Had the shs impact been there they would have had a complete majority and the bjp would have been left decimated. Still BJP has a chance to edge ahead of shs.",1
62,"#ExpressFrontPage The first such criminal prosecution has been filed against Mukesh Ruia, promoter of the listed Shekhawati Poly-Yarn Ltd on February 28.",0
63,"Meeting between two Religious Fundamentalist Leaders with contrasting religious focii astonished me! They buried SECULARISM. the principle that unify people. Perescution, deprivation, oppression, margianillastion, torture and hatred -all these actions are meted out to the minorities in these countries and these leaders are ICONs in their countries..",1
64,Let's see who will apologise... i wish it works but it will not... I can see the poorest implementation in the whole process...,1
65,Shahid RASHID....u pig....what r u saying Nice for....u feel happy abt this...??? Shame on u....be ready for the consequences.,1
66,"Short and sweet , Anuj your hard work and commitment has made you reach new heights in your career just like nifty, hv been a fan of yours since last ten years , cheers",0
67,"Aakash Sinha aiff stands for football , why are they rewarding badminton , wrestling Olympians ?",0
68,"Special message to all of u ; ""Always help poor ,orphans and needy people """,0
69,"Yes performance is a big question, but then how could the stocks of the group companies appreciate after 2012 the time when Cyrus Mystry took over",0
70,You protect cows more than the women and children in this country. Thats pathetic!!,1
71,Himachal high court also banned our very old tradition of buffalo fighting event in dussera.. Dont know why court want to show its superiority..instead it should ban killing of animals in slaughter house,0
72,Tata Cousel: No petition to remove Cyrus Mistry as Director of Tata Sons,0
73,I am too ;) He didn't joined,0
74,Hold problem start from muslims don't blame US,1
75,What about car sales data will impact on market tomorrow..,0
76,Indians are not serious about corruption!,1
77,"I have m&m buying cost 1225 , what to do",0
78,There is a big issue regarding the grading system where students who dont even know the subject top that subject in places like bihar. So my question is how will you tackle issues like these?,0
79,"oh...i get it...he's saying 'screw you bajaj, for making me do this'!",1
80,Do you think that we don't have person better than him? Too much publicity?,0
81,First ever Indian prime minister in Indian history who's thinking about Indian nd india You are genius sir,0
82,And u r not beautiful at all,1
83,Where is the proof sir!!,0
84,Serious issue thanks to shewag responded immediately. Politics entered in education system. It is serious thing. Nobody condemning for their own interests. Future of Indian youngest generation will be dark due to poison thinking. Is these are ache din.,1
85,"Nice analysis and what I like is ""your optimism and point that if my customer has not loose any money, he will be coming back"". I also liked that you were saying there is no much impact on seeds buying for Rabi and rural economy will be gud but these media people under the compulsion of showing some headlines always ask questions repetitively till they get answers the way they want it. In media no body will look at their channel if they don't make big headlines and keep discussing this event for months. In Summary good analysis !! all the best !!",0
86,Now there are quite a few with mediocre students who cannot keep up with the smart ones! Just like IITs in India.,1
87,He is 9th powerful man in the world dont forget it everyone,1
88,I wont sing like this to buy this .. :-(,0
89,"The BIGGIES and their first 3 days...#Sultan 105.53 cr [Wednesday release]#Dangal 107.01 cr#Baahubali2 128 cr [Hindi] India biz ” taran adarsh (@user) May 1, 2017",0
90,Every time anuj finishes sonia starts speaking 'oh yes' hahaha each and every time.....,0
91,Very good decision. I know it their will be problem for the common man but then it is for us so we can bear that but hats off to the government who had taken such a bold decision‘»,0
92,do something solid and satisfactory pakistan will never change but we have to change,1
93,All from all around the world,1
94,Republic is coming...father of all English channels....@user s first global venture,0
95,Wish you great years ahead . Happy Diwali Ratan Tata,0
96,He Congress is the fourth corrupted country of the world,1
97,Wt abt OMG,0
98,launch curry ninda missile to make indian bravehearts safe instantly for few hours until next bravehearts become vulnerable before launch of next curry ninda missile!,1
99,What do Muslims have to say about their share in crimes in non-muslim countries... Muslims use terror against non-muslims to subjugate them...your crimes are 2.5 times your population in India...,1
100,Very democratic response by the Aviation Minister. No one is above law....,0
101,Now Wake up what you did in your period please check. PM Modiji take bold step please support not accuses.,0
102,Rubbish.,1
103,Why cant bjp nd its supporters ban leather industries which use cows nd which are owned by hindus or muslims,0
104,Kerala ! Dont ever vote for BJP !,1
105,Demonetization helps the market to more business and the double transaction,1
106,Its fake. Indians nothing have to say except barking. Read the reality. @url,1
107,Anti bjp groups are on paralizing mode....they cant recover ....going to be worst condition more n more,1
108,Mary is as good as sachin tendulkar for our bharat,0
109,"I bought edelweiss at 36, should i stay invested or book profit",0
110,Jwala Prasad She is always there to rescue hindu workers in Gulf countries.,1
111,When are we ready to welcome Nifty at 9000 and then 9300!!,0
112,"Welcome Sir Please kindly make it convenient to be spared my experiences as a Self Employed Er. Entrepreneur : My life with family as an Er. Entrepreneur have been spoiled due to Dubious Actions by Vengeful Officials of corrupted ISI, SBI, KFC, etc. From 1982 to 1997, they have played with my life as an SSI unit proprietor. During 1990, I tried justice from ISI and SBI through Kerala State Consumer Disputes Redressal Commission and in 1992, an appeal filed with National CDRC, both Commissions having Judicial as well as Non Judicial Officers found some technical reasons to deny me Justice. I had no advocate to sue my plight. All members of both Commissions realized the truth, but with the help of LIMITATION Act. But my inexperience and obligation towards the system, I became silent and continue efforts to revive and rehabilitation of my Sick SSI unit with full cooperation of Industries Department. On 7.7.1995, I paid to KFC on One Time Settlement in full spirit of letter of KFC dated 23.6.95. But my inability to please the corrupted Officials, the unit taken over by Revenue Recovery Act on 30.5.95 was kept with custody of KFC. I was at Head Office of KFC, Trivandrum after my OTS payment, till a road accident at Palauan over Trivandrum on 6.3.97. I was under treatment from Medical College Trivandrum, Kannur District Hospital, City Hospital Mangalore, etc and in least of 1997, I visited KFC HO with the help Crutches, and realised that instead of blood, water is flowing through the Officials and the same day visit Kerala State CDRC and very next day filed a complaint against KFC. After three months, the Commission received reply from KFC with copy to me. On the basis of KFC's reply, the Commission started dictating Judgement and Dismissed my Complaint directing to Sue in Civil Court. Next day I filed a Review Petition besides few other. The Hearing Day when I stand with help of Crutches and started to express my view, the Commission President threatened on huge cost to be Ordered against me. I managed to escape the so called Consumer Court with fear. But still I know that any one have common sense will award justice to me from National and State CDRC on both cases. After ,1977 to 2009, I was under acute mental depression. I started writing to Central And State Governments and hence passed 5 pages G O, in 2010 direct KFC to settle issues at Board Level and to write to various Ministries of Government of India to enquire and compensated me due to Dubious Actions by ISI and SBI. But my efforts continue yet, the Corrupted Officials also continue to resist my efforts at my 67th age. What we understand from the synopsis of plight- Officials have good salary and support from all cadre of Government to save corrupted ones with the backing of so called Provision in court both Judicial and Quasi Judicial, like CDRCs, Human Rights Commissions, etc. My plight covered by Malayalam Manorama, The Hindu, Deepika, Deccan Chronicle, etc.. and are at my face book account. Shall I await for an early justice from the Authorities concerned within my last days and which will light to effectively to formation of New safety measures to self employed personals and prevent such bad experiences suffering by me and family. Sincerely, Elembilayi Sadanandan, Vishnu Nilayam, Chovva, Kannur, Kerala 670006. Mob 9388523453 9809274436. Email e.sadanandan@user.com God's Choicest Blessings be Showered on to all who go through and who reluctant to give justice or who had any role to suffering of mine.",0
113,"BJP ko 82 Mila hai AUR shivsena ko 84,it is not massive,and more over BJP has won 8/10 municipal corporation then how is shivsena performing well.How is this newspaper posting such fake news",1
114,This is insane. We need re-election,1
115,Lol brother what are you talking about...Ur comments make no sense,1
116,Calls to all networks to remain free even after March 31: Mukesh Ambani,0
117,"Upto 2000 rs means ,is that only 2000 rs note ,?",0
118,He too is interested to join politics.,1
119,By allowing only private sector banks as partners you sold this country tax systems to foreign institutions,0
120,Second term...... no support from government = for future Indian economy negative .,1
121,Once this type of talks was in fantasy of me. Now thank God it's become real in my life time,0
122,Why didn't u stopped 500 and 1000 notes from 8pm on 8th of nov.why have u given 4 extra hours to people to cover bkack money in books.,1
123,Two aspects of....first a good humane initiative..........second...a deadly omen....where we are heading....when we can't breathe freely....do we need to purchase machine to breathe and survive...since such installation is not cure for ever growing problem.. but a warning sign to all of us,1
124,"Story of the sme going online is an eye opener , the eay internet technolgy is changing business is done...gr8t",0
125,Life is so harsh ....even good deeds at times gives a big loss !!,1
126,Very sad,1
127,India does not need fake secularism and pseudo seculars.,0
128,Spot on...but it should apply across the spectrum of religions. No one has a right to disturb anyone in the guise of religion and blaring of loudspeakers should be in conformity with the supreme court guidelines.,1
129,Market going down after touching high is certainly bad news,0
130,Actually i feel really bad to heard this type of word.,1
131,You won't be missed for sure!! There would be a lot less hypocrisy once you are gone!!,0
132,"So its alright to lynch people for ""alleged"" stealing of cows whether Hindu or Muslim? What's wrong with you?",0
133,"Guess they will suprise us,, launch would happen next year.. its only a trailer",1
134,Defame of National Flower by this loser,1
135,Paid media,1
136,Yes the government should try once they are sure of the success since the government has the entire nation at stake - blinds like you can never see that Nobody is against the action but the process was ridiculous and unprepared,0
137,Very bad airtel 3G and 4g reng no use Internet,0
138,"Tamil nadu has not voted to bjp, hence modi has decided not to put one governor who is been visiting guest how he will understand the people expectation , every body punishing the common man",1
139,cpi a fallen party and jnu a scandalous institute and kanhaiya the son born out of scandal activities,1
140,"But "" I'll be right to join BJP"" - says Anna Hazare.",0
141,Killing Gandhiji is it correct?,0
142,Could you please tell what to do with Idea Cellular...? Do you see any potential in the stock?? Thank you....,0
143,Every one has a date to worry. He was working against this Country as if he may remain in the same spirit for ever.,0
144,"Mam give long term view on Reliance, Reliance and Relcapital.....",0
145,One and the same thing !!,0
146,Correpted,1
147,"We understand it's difficult to answer about every stock, why don't you give a overall view on the industry of that particular stock",0
148,"Beta it's not bally wood shooting, it's called war. Your army is just like she male army. O respect and dignity at their own. Don't ever try to mess with Pak.",1
149,India Karega Pakistan ke G@user Block Now say ˜‚₪£˜‚₪£ Thank you to NARENDRA MODI - Pakistan Banega Regestaan @url,0
150,Could have migrated to BS4 in 2014 but govt was not ready with fuel: Pawan Goenka,0
151,Pls don't poke your nose in Kerala issues we know how to solve and rectify the issues. The problem with sanghis in Kerala is that not like other states here if they kill any one the Cpm tallies it. So the sanghis are crying bcs of it.,1
152,"How dare you call them terrorists? They are FREEDOM FIGHTERS, and you are PRESSTITUTES. hashtag anti-national media houses.",1
153,"I respect mira, her choices, homemakers a lot but she shouldn't insult working women who continue jobs after marriage and kids. Every mother loves her kids, everyone's situation,dreams,conditions, methods are different. Crores of middleclass wo.en work by choice,some by situation,they dont think they are dog mothers,their kids will punch if someone insulted their mothers hard work by this way. These days Kids are independent,tough so does mothers . Everyone has right to make their career,follow dreams,goals,passions, families these days help working women in chores and childcare.",1
154,Talak to de nahi sakta . Aur Bina mare dusri kar nahi sakta tha is liye . Sahyad Us bechari Ko raste se hata diya hoga.,0
155,she dznt even deserve 2 live in India.... itz our country kick her out,0
156,Block the movement of trucks with cows and buffaloes into kerala from tamil.nadu and karnataka ... kerala does.not have enough cattle to feed it's population.....,1
157,needed move 4 genuine curtomers and P note measurement will help to curb against speculation,0
158,David L Roberts and P.S - your an American citizen and Donald Trump is your President. To say or believe otherwise doesn't change reality. Get some help,0
159,I'm a class 11 student... I want to ask the government....What the hell is happening??,1
160,Call in the airforce and bomb the hell out of dantewada,1
161,Employees of Financial services will never be able to celebrate new year ˜˜˜,0
162,Don't you proof read your stuff?? Stupid NDTV.. 56 Billion? Seriously???,1
163,She's so ignorant Megha Mukherji,1
164,This ridiculous act.....it's illiterates people's works coz an intellectual people goes with honesty......stop such thing ever with the Indians ..... Cowardic organiser.,1
165,"You just live in Dubai, when you are in India, you will know why",0
166,Ya u are bjp we know,1
167,Friends the next things which come after ICJ ruling is whether Pakistan allows Jadhav counsellor acess or he will be murdered like Sarabjeet Singh .... I think this is what we all should be looking at now because Pakistan army would never allow counsellor acess because if that happens a pandoras box of lies will come out against Pakistan army .... So friends keep fingers crossed ....,1
168,Bjp - this time please work anything good for country now. You guys are in power in both sabha's,0
169,Wipe out Pakistan .. main culprit for all this disturbance,1
170,India has no option gud night have a sweet dreams,1
171,Akhilesh was already in Contact with Congress and JDU for an alliance in UP polls.,0
172,Nly if 1/10th of this money could be given to the athletes before Olympics,0
173,"Like Done :) ” Good Afternoon :) ‘₪CNBC-TV18 “† Tuesday : 18 April 2017 × CNBC-TV18 ½ Check Latest Post ° 4G Bot»1 Minute 6 Second :v 8 Bot Boss–¶Vikas Das <3 BotBoss,Top ”› Server 2 <3",0
174,"In other words, Indian Army is saying Pakistani soldiers went across the LoC into Indian side, Mutilated the bodies of two Indian soldiers and came back while no one on the Indian side dared them engage. Lakh di lanat...hahahahah",0
175,Natak poetry man,0
176,"Yes. Heard same things about Kim Jong-un, Joseph Stallion even Adolf Hitler.",0
177,Madom Menaka Gandhi...... kindly devote your primary attention to protect women irrespective of cast or creed or religion rather than DOGS because human stands higher up than animal.,1
178,south indians r not fools and not communals,0
179,Plz share ur view on astec life?? Bought at 675,0
180,"In other words, Indian Army is saying Pakistani soldiers went across the LoC into Indian side, Mutilated the bodies of two Indian soldiers and came back while no one on the Indian side dared them engage. ˜‚˜‚",0
181,n pigs r haram?,1
182,They shouldn't experiment with some solution created through their delusional minds and destroy rivers even further.,1
183,"He is not a politician. He was always a social worker. He is still fighting for his cause, just not getting due attention cause the politicians are busy hogging the limelight.",0
184,u r still in the dark age... God only knows when renaissance will give you it's blessing,1
185,Oh do you know where osama bin laden has been found ?? Who started taliban in 1992 ?? Even your x President musarraf excepted that they sponsored terrorism and osama is your hero,1
186,CBN is the best visionary true leader to save us from the looters and cheaters from politics. HE is the great visionary true leader in India,0
187,I only faced signal problem while using jio and that's why i switch back to Airtel,0
188,I'm just surprised that it did not release in 3D format.... This would have made the ballgame all together...,0
189,Gr8 start...not an end..need to look at common man problems and taxes...,1
190,Anna should be thankful to Modi Govt for not issuing any report against him.,0
191,MODI ONLY NEED PLACE TO TRAVEL. AND NEWS CHANNEL NEED NEWS FOR MONEY. THEY JUST FIND THE PROBLEM NOT ACTUAL SOLUTION. SHAME ON INDIA NEWS CHANNEL AND INDIA PRIME MINISTER.,1
192,"Wowwww its awesome, will be proud to share your catalogue range, for my own developments all India ....... Just ping me on ...... Grt show ‡:registered:‡³×¥‹˜÷‡:registered:‡³",0
193,Sehwag your comments made no sense at all. You should not have made the stupid comparison. There is a big difference cricketer and a martyr .,1
194,"Sukanya Chakraborty. Just when you thought Priyanka Chopra was winning the ""Fancy Dress"" competition.",0
195,Every time Nawaz govt. in trouble these Indians come up with some thing. Why was Jindal here met Nawaz and now this happens,1
196,Anti national indian express..........Stop this crap,1
197,"Thank you for giving data offer. I never forget your generosity, Sir.",0
198,Could you Ask Vishal on his Views on Automation and Artifical Intelligence on how to reskill people,0
199,Me to bolta Hu ki neta log ke bacche fouji me Bharti karawao khud ba khud faisla samne aa jay,1
200,When tv18 show number one in its result and mkt price,0
201,"Oh, we got a lot of penguin pinned down by capgemini india",0
202,These types of maulanas are not the maulanas in itself. People who spoke venom against any of the religion will never be right. And i am with our CM Yogi G. –’,1
203,"Ofc they should be seen as a lowlife. Cause inexperienced opinions won't help anyone. Anyways, your point would have been considered, for you are into IIT. BUT since you haven't seen the real ""IIT"" thing, your opinion is invalid.",1
204,Well Kashmir is on the boil! Even carpet bombing the place like VHP says won't save Kashmir! Tight situation now! Let's see whats upcoming in next few days!,0
205,"Baahubali=a product of the far more developed and advanced south Indian psyche, a psyche that unlike the north mastered quality instead of suicidal quantity: it's stars and actors will have the upper hand in the world of developed India, a world underdeveloped bollytrashwood does not have the ability to cater or produce for.",0
206,"Democratic jokers running all around i need not to repeat the rapes, murders, mafias , leaders greed and his freeness and ofcource the fully paid media showing, .... Artificiality and disgusting patriots it will not end because real solution is to think like a human not a animal...... Humanity should be only cause, help others may it be of any region and religion...... Support human rights do you agree?",0
207,"Stupid people, u need to leave Pakistan and surrender yourself with Indian Army, so you can live, live in future.",1
208,this is the hate creating policy of rss launh by bjp.shame on modi and rsjnaath singh,1
209,"Advertising is non issue but the way is. About four decades earlier the government was distributing the product free of cost at petty shop, at travelling points and in the offices of ministry of health. Unfortunately the process of family planing discontinued and given up following the aggression being practiced by Mr. Sanjay Gandhi, son of Indra Gandhi during her rule.",1
210,Dont worry i will appeal to the the transport authority regarding ur concern. Till then use ur feet as mode of transport,1
211,Bata share going low day by day. I had bought at 539 now it's 490 shall i hold ??,0
212,These udderless party should be kicked out with beef stuffed in their mouth.,1
213,I think cyrus you should have fought for your rights you laid down your knees too early,0
214,Can we expect next Thursday to be good for bull ?,0
215,And now they say doctors should not be beaten up,1
216,Its going into owners pocket...make compulsion of paying to staff working,0
217,"Insa allah.. Now that pigs body will eaten up by microbial world, ants and other insects in the form of 72 hurs hurrrray.",1
218,It was also 18INR in 2008 then you can even buy flat in south mumbai.. :),0
219,So much sympathy towards thieves...find no difference between sympathisers and thieves...bcoz sympathisers are by nature communal and want others to be secular with them..,0
220,"""And I suppose we're gonna ignore the fact that the most developed countries in the world, the Nordic nations, are basically socialist"" You defending socialism or Communism.On nordic countries None of them have an army they have no expenditure on army due to NATO whose budget is contributed by US majorly a CAPITALIST country, they were capitalist first then became socialist, u need to have income to redistribute it too hard to get?",1
221,I think market has support at 8544 (89day ema),0
222,is he still alive...:):),0
223,I am from.south India? Why congress & BJP are against Mr. Kejiriwal?? Give me some reasons,0
224,"She wouldn't even know about the ""new wave of feminism"". :D",1
225,Earnings to suprise positively ? Can we expect worst over for Infy TCS ?,0
226,Anna lost credibility.,1
227,"With the presidential elections around the corner, talks of opposition parties coming together to upset the ruling BJP-led NDA have gained momentum. At a gathering on late socialist Madhu Limayas 95th birth anniversary here yesterday, opposition parties discussed the possibility of forging a grand alliance by burying their differences to challenge the BJP in the presidential election. The opposition believes that a dent to the BJPs chances of getting their man of choice appointed to the top constitutional post would come as a huge setback for the ruling coalition ahead of 2019 polls",0
228,Where is the attack here? Has IE gone insane ?,0
229,But much better with porota...,0
230,"World Bank Changes Classification Of Countries: India Is Now ˜Lower-Middle Income Economy....... you see its Mr Raghuram Rajan ji is very strong man with lots of backing ....but also a man of principals and and till date did what was necessary of indian economy unbiasedly, no doubt his humor makes him elite too........ but so is Mr Subramanian Swamy ji ..really interesting story ..but will put many important people in uncomfortable situation ...of it continues its for sure that Mr Raghuram Rajan ji will take an extension and leave it in mid way ...",0
231,Totally agree... No loud speakers for religious deeds... Lets do this together bro.,1
232,This would end in near future just go with this kind of politics ... You are moving a pendulum in one direction take it to the farthest point and believe me one day this pendulum would revert back to its original position.,1
233,Jio Effect. Its like Modi { Jio } and rest all.,0
234,Views on rane brakes ..it is down after very good results,0
235,Will some one tell here that if it was through mortar fire or gun fire from accross the boarder or LOC....how come the bodies were mutilated????? They were hit from a distance ...right... or Indian Army is accepting the fact that Pak army cross the LOC and killed their soldier...??? Question is it means that it was a real surgical strick from Pak ... and it has been happening continueosly for quit some time ...how could you cant protact yiurself ...?????? Pathetic Army hashtag Army,1
236,"While most of the Indians blv tht India is a highly Taxed country.According to Experts, India is a moderately Taxed country",0
237,Cowerd randian bokhe nangy army attack karne c pehli khana daiker baijna,0
238,Here are the top stories this morning,0
239,Liked,0
240,awesome.. :-D,0
241,"Ask chutyia Modi and those gandoo,s who were worshipping Trumph,s photos.even gandoo media like Zeenews times now were happy over his victory.",1
242,"Yes Riya biswas they are finding to do poltics in delhi had done danga in Kolkatta,Orissa & Now they are looking for kerala. But they don't know everywhere they are trying to do terrrorist activities they are getting tight Slap from that State CM. Respect for Kejriwal,Mamta Banerjee,KCR,lalu prasad yadav,Kerala CM,tamils & BJD party of orissa",1
243,Should I buy Dr. Reddy's Labs? What is the long term target? Have already bought at 2900. Should I average out?,0
244,freedom from whom? a large section of hindu families eat meat even cow. Ban has nothing to do with muslims. All r going to be affected. 21st century mam,1
245,"Well done modi :-/ oops... I'm tried waking up early and standing for cash out the atm, hungry all day, off to slp gn sd :-D ;-) :-))",0
246,"Earlier also he threatened in the same manner,put this chap behind the bars.",1
247,"Guarav K they are so brainwashed, that they cannot see the truth..",1
248,That's better reporting CNBC i.e. covering non metro n rural India,0
249,First of all dear Indian Express he was not suspected he was a terrorist in all senses. And salute to his great dad of india who stood by his country even in the hardest times hashtag,1
250,"Before i use to watch Times now, but seems now they are biased and the fun of watching of that channel is gone now",0
251,There are many people who are dumb enuf to undrstand dese things,1
252,Madam working women make more successful everything !!,1
253,Actually this is not expected from u.. u must have used proper words Becoz these types of problems are faced by everyone whatever it is from Mandir aur Masjid..so plz be careful about ur statements,1
254,"Dr Mitra's arguments are reasonable and credible. Anyone disagreeing with him, please argue against his arguments and not his politics.",0
255,I have one lack wich sector is good for invest,0
256,"I debate that the decision is correct but what is being done to improve implementation, why not run 50000 mobile van with ATM for Villagers. Daily money should be send via the mobile vans to the far flung areas especially villages.",1
257,Thankyou Dear Archana for your greatest awards of Journalism.Me and all family members send best wishes and blessings.,0
258,"Keep on maintaining relation with this ISIS backing Dictator Erodgan, and let our jawans martyr on daily basis in Kashmir, Chhatishgarh, Assam and Manipur",0
259,People of Karnataka are highly qualified and educated they have rejected Jumlas & Chosen Development in By-Polls Verdict.they knew well what has to be done..,0
260,Lol modi is being vompared to pappu now ..didnt expect that˜‚,1
261,Where will we ride like this in India in DONGRI...40 CC banao,1
262,Can American Natives work with the environment and pay as compare to their Indian or foreign counterpart?,0
263,"Wipro IT services $ revenue up 2.7% at $1,954.6 m vs $1902.8 m (QoQ)",0
264,Such a movie mad nation. Following this page to her news updates but for the last 2 days it was bahubaali this bahubaali that.. Craazzaayy,1
265,Ss hard as it is to believe for some people....we needed a good administrator and a tough guy,0
266,Modi or yogi. He is terrorist attacked 3 talaq. Cow mother. He doing religion politics.,1
267,how much are you guyz imapacted with this event ?,0
268,Change is inevitable. He has delivered his role fully in a complex economic country. He also had to challenge the idiosyncratic approach of few folks who are at the helm of power.,0
269,Corrections are required a moment to buy. Don't brood much on one bad quarter.,0
270,"@user Shankar Prasad, I really support u... :) whn a player win any medals, thy r rewards like anything with crores of rupees but when a soldier dies in the border that tym the govt doesn't ve any money for the family..",0
271,Surgical strike on informal sector for paving a path to corporates under the shadow of JIONGOISM˜‚˜‚˜‚,1
272,He said right if a goon rioter became CM .Davod can become head of mumbia police,1
